Configuration,Parameter,ParameterValue,n,FeasibleRate,TopologyRecoveryRate,MedianObjective,MedianAbsGapPercent,MedianOracleCalls,IQROracleCalls,MedianLocalNLPCalls,MedianIterations,MedianRuntime,IQRRuntime,FeasibleRate_CI95_L,FeasibleRate_CI95_U,TopologyRecoveryRate_CI95_L,TopologyRecoveryRate_CI95_U
Reef_60,ReefSize,60,10,0.9,1,68.009744050951,1.67549135971293e-10,707936,22543,1383,81,63.693927,22.0254046,0.595849973204762,0.982123786904927,0.722467200137112,1
Nominal,Nominal,NaN,10,0.7,1,68.0097440508314,3.43539981854964e-10,1437882,3585120,2801,81,133.0715521,197.4052904,0.396778147461146,0.892208732593699,0.722467200137112,1
Reef_240,ReefSize,240,10,0.3,1,68.0070484448171,0.003963558877411,9911173.5,7134531,20270,300,689.74645455,763.4736754,0.107791267406301,0.603221852538854,0.722467200137112,1
