Configuration,n,BudgetHitRate,FeasibleRate,TopologyRecoveryRate,MedianRawObjective,MedianAbsGapPercent,MedianBudgetOracleCalls,MedianRuntime,MedianLocalNLPCalls,FeasibleRate_CI95_L,FeasibleRate_CI95_U,TopologyRecoveryRate_CI95_L,TopologyRecoveryRate_CI95_U,BudgetHitRate_CI95_L,BudgetHitRate_CI95_U
CRO_like_NLP,10,0.1,1,1,68.0097440509739,1.34012144859e-10,1289638.5,141.94607715,2733,0.722467200137112,1,0.722467200137112,1,0.017876213095073,0.404150026795238
CORAL_full,10,0.4,1,1,68.0097440183888,4.80463680820871e-08,1459242.5,223.28282655,2838,0.722467200137112,1,0.722467200137112,1,0.168180329706236,0.687326230266341
