Configuration,n,BudgetHitRate,FeasibleRate,TopologyRecoveryRate,MedianPolishedObjective,MedianAbsGapPercent,MedianBudgetOracleCalls,MedianGAGenerations,MedianRuntime,FeasibleRate_CI95_L,FeasibleRate_CI95_U,TopologyRecoveryRate_CI95_L,TopologyRecoveryRate_CI95_U,BudgetHitRate_CI95_L,BudgetHitRate_CI95_U
GA_NLP,10,1,0,0,104.222348901166,53.2462007545724,1500000,26,225.08160285,0,0.277532799862888,0,0.277532799862888,0.722467200137112,1
GA_localNLP,10,1,1,1,68.0097440510651,1.25371929391751e-13,1500000,14,132.8114869,0.722467200137112,1,0.722467200137112,1,0.722467200137112,1
