pNLP,seed,rawObjective,rawGapPercent,feasibleRaw,topologyMatch,maxEqRaw,maxIneqRaw,polishedObjective,polishedGapPercent,feasiblePolished,maxEqPolished,maxIneqPolished,iterations,runtimeCORAL,globalModelEvaluations,localObjectiveEvaluations,localConstraintEvaluations,totalModelEvaluations,totalOracleCalls,localNLPCalls,localNLPIterations,localNLPRuntime,topologyRepairChanges,polishRuntime,polishObjectiveCalls,topologyLabel
0.2,12010,68.0093442321243,-0.000587884789598784,1,1,9.99568841897336e-06,0,68.0097440510651,1.88057894087627e-13,1,2.22044604925031e-16,0,284,360.3170803,45888,1577711,1577711,1623599,3201310,6411,55198,321.541064899999,15338,0.0502097,131,P2-P4-P6-P8
0.3,12001,68.0097440509957,-1.01927378595494e-10,1,1,2.33579822150887e-12,4.05231403988182e-15,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,82,144.5706949,14110,720344,720344,734454,1454798,2861,25235,131.5203175,4229,0.0209804,130,P2-P4-P6-P8
0.3,12002,68.0097440509274,-2.02392084681417e-10,1,1,4.35074198890106e-12,0,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,5.55111512312578e-17,81,148.7859049,13937,724875,724875,738812,1463687,2815,25440,135.6709227,4221,0.0097492,78,P2-P4-P6-P8
0.3,12003,68.009345219508,-0.000586432962764081,1,1,9.97233529675956e-06,1.34908750837326e-12,68.0097440510651,1.67162572522335e-13,1,4.44089209850063e-16,0,300,527.0910989,52016,2498636,2498636,2550652,5049288,10200,87283,477.9565625,16360,0.021495,190,P2-P4-P6-P8
0.3,12004,68.0093374094468,-0.000597916701245808,1,1,9.93692362349918e-06,5.50020182565891e-07,68.0097440510653,3.76115788175254e-13,1,2.22044604925031e-16,0,300,491.4830828,51860,2439607,2439607,2491467,4931074,10062,85176,445.159445400001,16191,0.0211821,130,P2-P4-P6-P8
0.3,12005,68.0097439866987,-9.4642747114794e-08,1,1,3.37643164305963e-09,1.88737914186277e-15,68.0097440510651,1.25371929391751e-13,1,4.44089209850063e-16,5.55111512312578e-17,81,124.6560242,13894,693483,693483,707377,1400860,2735,24326,113.6925349,4206,0.0131244,130,P2-P4-P6-P8
0.3,12006,68.0097440505734,-7.22790068265012e-10,1,1,1.57505120057522e-11,0,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,119.6085194,13890,696376,696376,710266,1406642,2745,24410,109.3597082,4198,0.0237121,137,P2-P4-P6-P8
0.3,12007,68.0097440500789,-1.4499890493803e-09,1,1,3.11769499106163e-11,0,68.0097440510651,1.25371929391751e-13,1,3.33066907387547e-16,0,81,116.8006526,13974,717855,717855,731829,1449684,2792,25158,106.9712751,4182,0.0153095,104,P2-P4-P6-P8
0.3,12008,68.0093442374437,-0.000587876968020225,1,1,9.99580981964066e-06,3.92963439566074e-13,68.0097440510651,1.46267250957043e-13,1,3.33066907387547e-16,0,300,486.0040944,51945,2480053,2480053,2531998,5012051,10199,86636,442.397357699998,16234,0.018059,157,P2-P4-P6-P8
0.3,12009,68.0093440885248,-0.000588095935109785,1,1,9.99906476606416e-06,6.0507154842071e-15,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,235,411.0818959,40763,1964897,1964897,2005660,3970557,8022,68747,373.4652435,12555,0.0174523,130,P2-P4-P6-P8
